id,user_id,doubt_id,created_at,activity_type,user_type
2194362,412115,252764,2020-01-08 16:44:28 UTC,resolve,Student
2194363,223890,252820,2020-01-08 16:44:29 UTC,resolve,Student
2194373,19459,251943,2020-01-08 16:45:06 UTC,resolve,Student
2194376,209262,252657,2020-01-08 16:45:14 UTC,resolve,Student
2194381,205998,253083,2020-01-08 16:45:22 UTC,resolve,Student
2194388,382823,253174,2020-01-08 16:45:47 UTC,resolve,Student
2194418,367542,252587,2020-01-08 16:47:23 UTC,resolve,Student
2194425,223890,251796,2020-01-08 16:47:47 UTC,resolve,Student
2194466,428159,252833,2020-01-08 16:50:37 UTC,resolve,Student
2194512,325239,252730,2020-01-08 16:51:59 UTC,resolve,Student
2194519,25964,251650,2020-01-08 16:52:14 UTC,resolve,Student
2194526,282065,253037,2020-01-08 16:52:21 UTC,resolve,Student
2194545,418305,252629,2020-01-08 16:52:54 UTC,resolve,Student
2194566,388697,253161,2020-01-08 16:53:47 UTC,resolve,Student
2194571,497596,252637,2020-01-08 16:53:54 UTC,resolve,Student
2194573,408500,253188,2020-01-08 16:54:10 UTC,resolve,Student
2194577,77761,253016,2020-01-08 16:54:15 UTC,resolve,Student
2194591,419647,253146,2020-01-08 16:54:52 UTC,resolve,Student
2194595,25964,251680,2020-01-08 16:55:08 UTC,resolve,Student
2194622,267636,252859,2020-01-08 16:55:57 UTC,resolve,Student
2194627,32500,250958,2020-01-08 16:56:08 UTC,resolve,Student
2194655,283401,251671,2020-01-08 16:57:25 UTC,resolve,Student
2194671,332104,252421,2020-01-08 16:58:35 UTC,resolve,Student
2194740,311392,250989,2020-01-08 17:01:24 UTC,resolve,Student
2194745,345067,252194,2020-01-08 17:01:42 UTC,resolve,Student
2194757,311392,250330,2020-01-08 17:02:01 UTC,resolve,Student
2194776,422398,252915,2020-01-08 17:03:19 UTC,resolve,Student
2194785,321333,252462,2020-01-08 17:03:39 UTC,resolve,Student
2194790,155369,252716,2020-01-08 17:03:52 UTC,resolve,Student
2194819,424808,251250,2020-01-08 17:05:25 UTC,resolve,Student
2194829,74182,253132,2020-01-08 17:05:45 UTC,resolve,Student
2194834,119068,252746,2020-01-08 17:05:54 UTC,resolve,Student
2194871,31758,251953,2020-01-08 17:07:05 UTC,resolve,Student
2194883,251298,252343,2020-01-08 17:07:41 UTC,resolve,Student
2194888,379269,252989,2020-01-08 17:07:51 UTC,resolve,Student
2194897,118130,249310,2020-01-08 17:08:01 UTC,resolve,Student
2194903,303885,251021,2020-01-08 17:08:17 UTC,resolve,Student
2194962,41592,252725,2020-01-08 17:11:19 UTC,resolve,Student
2194998,422398,252925,2020-01-08 17:12:03 UTC,resolve,Student
2195026,460808,252639,2020-01-08 17:12:41 UTC,resolve,Student
2195075,367611,252390,2020-01-08 17:13:57 UTC,resolve,Student
2195102,219915,252140,2020-01-08 17:14:50 UTC,resolve,Student
2195185,339657,252905,2020-01-08 17:17:51 UTC,resolve,Student
2195199,416948,253115,2020-01-08 17:18:16 UTC,resolve,Student
2195201,378584,251469,2020-01-08 17:18:59 UTC,resolve,Student
2195257,475066,252675,2020-01-08 17:23:06 UTC,resolve,Student
2195283,163683,252647,2020-01-08 17:24:12 UTC,resolve,Student
2195286,453582,251480,2020-01-08 17:24:19 UTC,resolve,Student
2195325,194154,251631,2020-01-08 17:25:57 UTC,resolve,Student
2195329,310502,248891,2020-01-08 17:26:05 UTC,resolve,Student
2195350,283401,252227,2020-01-08 17:26:58 UTC,resolve,Student
2195371,25964,252241,2020-01-08 17:27:55 UTC,resolve,Student
2195376,58052,252863,2020-01-08 17:28:05 UTC,resolve,Student
2195435,244751,252949,2020-01-08 17:30:52 UTC,resolve,Student
2195500,422298,252791,2020-01-08 17:32:44 UTC,resolve,Student
2195519,422398,252692,2020-01-08 17:34:02 UTC,resolve,Student
2195527,345009,253045,2020-01-08 17:34:22 UTC,resolve,Student
2195546,244751,252942,2020-01-08 17:35:16 UTC,resolve,Student
2195557,422398,252865,2020-01-08 17:35:57 UTC,resolve,Student
2195569,68827,251104,2020-01-08 17:36:27 UTC,resolve,Student
2195630,378584,252040,2020-01-08 17:38:21 UTC,resolve,Student
2195665,256701,252771,2020-01-08 17:39:13 UTC,resolve,Student
2195723,331375,252504,2020-01-08 17:43:19 UTC,resolve,Student
2195725,140381,253038,2020-01-08 17:43:27 UTC,resolve,Student
2195762,345009,253006,2020-01-08 17:45:25 UTC,resolve,Student
2195773,422398,252733,2020-01-08 17:46:28 UTC,resolve,Student
2195796,343379,252135,2020-01-08 17:47:07 UTC,resolve,Student
2195840,369695,252057,2020-01-08 17:49:19 UTC,resolve,Student
2195843,460808,252748,2020-01-08 17:49:22 UTC,resolve,Student
2195889,422398,252263,2020-01-08 17:51:21 UTC,resolve,Student
2196023,461459,251369,2020-01-08 17:59:08 UTC,resolve,Student
2196067,503766,248370,2020-01-08 18:00:45 UTC,resolve,Student
2196095,205381,252608,2020-01-08 18:01:59 UTC,resolve,Student
2196102,96637,252834,2020-01-08 18:02:12 UTC,resolve,Student
2196110,476208,252824,2020-01-08 18:02:45 UTC,resolve,Student
2196111,476208,253076,2020-01-08 18:02:49 UTC,resolve,Student
2196116,437342,252401,2020-01-08 18:03:10 UTC,resolve,Student
2196179,345537,252475,2020-01-08 18:08:14 UTC,resolve,Student
2196219,442826,252314,2020-01-08 18:11:00 UTC,resolve,Student
2196237,335811,251949,2020-01-08 18:11:51 UTC,resolve,Student
2196240,378112,252756,2020-01-08 18:12:15 UTC,resolve,Student
2196279,473180,252602,2020-01-08 18:15:25 UTC,resolve,Student
2196324,345537,252567,2020-01-08 18:17:57 UTC,resolve,Student
2196431,355876,252069,2020-01-08 18:25:48 UTC,resolve,Student
2196432,184916,250700,2020-01-08 18:25:52 UTC,resolve,Student
2196441,395326,252705,2020-01-08 18:26:20 UTC,resolve,Student
2196455,366208,253053,2020-01-08 18:27:16 UTC,resolve,Student
2196461,232457,252995,2020-01-08 18:27:58 UTC,resolve,Student
2196494,373868,251069,2020-01-08 18:30:16 UTC,resolve,Student
2196508,335811,252078,2020-01-08 18:31:21 UTC,resolve,Student
2196529,395326,252101,2020-01-08 18:32:50 UTC,resolve,Student
2196540,380673,252979,2020-01-08 18:33:23 UTC,resolve,Student
2196558,419647,252626,2020-01-08 18:35:28 UTC,resolve,Student
2196571,340717,252623,2020-01-08 18:37:18 UTC,resolve,Student
2196573,340717,252775,2020-01-08 18:37:25 UTC,resolve,Student
2196679,457679,252662,2020-01-08 18:50:35 UTC,resolve,Student
2196683,32817,251755,2020-01-08 18:50:46 UTC,resolve,Student
2196688,192496,252812,2020-01-08 18:51:17 UTC,resolve,Student
2196691,447565,252919,2020-01-08 18:51:44 UTC,resolve,Student
2196716,351872,252774,2020-01-08 18:56:31 UTC,resolve,Student
2196763,474767,252854,2020-01-08 19:03:43 UTC,resolve,Student
2196782,355876,252743,2020-01-08 19:06:16 UTC,resolve,Student
2196842,110413,252790,2020-01-08 19:23:04 UTC,resolve,Student
2196869,351872,252613,2020-01-08 19:27:46 UTC,resolve,Student
2196877,468942,252094,2020-01-08 19:33:08 UTC,resolve,Student
2196908,457497,252968,2020-01-08 19:43:20 UTC,resolve,Student
2196918,386831,252793,2020-01-08 19:48:43 UTC,resolve,Student
2196929,54984,250884,2020-01-08 19:52:00 UTC,resolve,Student
2196934,417892,252707,2020-01-08 19:53:03 UTC,resolve,Student
2196944,38918,248195,2020-01-08 20:00:43 UTC,resolve,Student
2196952,463898,251664,2020-01-08 20:05:13 UTC,resolve,Student
